2021-11-16 17:01:54 INFO  .:28 - the browser has launched successfully
2021-11-16 17:01:54 INFO  .:39 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:01:56 INFO  .:42 - navigated successfully
2021-11-16 17:01:56 INFO  .:54 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:02 INFO  .:59 - admin logged in successfully
2021-11-16 17:02:02 INFO  .:70 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:04 INFO  .:73 - minimized successfully
2021-11-16 17:02:04 INFO  .:85 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:17 INFO  .:96 - customer created successfully
2021-11-16 17:02:17 INFO  .:109 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:28 INFO  .:120 - project created successfully
2021-11-16 17:02:28 INFO  .:132 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:38 INFO  .:141 - task created successfully
2021-11-16 17:02:38 INFO  .:153 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:49 INFO  .:162 - task deleted successfully
2021-11-16 17:02:49 INFO  .:174 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:02:57 INFO  .:183 - project deleted successfully
2021-11-16 17:02:57 INFO  .:195 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:03:08 INFO  .:204 - customer deleted successfully
2021-11-16 17:03:08 INFO  .:216 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:03:10 INFO  .:219 - admin logged out successfully
2021-11-16 17:03:10 INFO  .:232 - E:\CurrentWorkSpace\TestAutomation\Automation
2021-11-16 17:03:11 INFO  .:234 - the browser has closed successfully
